Data,Dolar
0,3.8460572083672233
1,3.860572083672235
2,3.7446057208367223
3,3.8471453489727185
4,3.076074815986118
5,3.268059942188291
6,3.17588785610237
7,3.2762957072103025
8,3.26672968908279
9,3.261961244374875
10,3.3085664286841494
11,3.3285953487290003
12,3.4796813115181373
13,3.5617005422624173
14,3.5799229348335464
15,3.630395127097306
16,3.669934231550798
17,3.825581027060195
18,3.811568688429617
19,3.8493551253650375
20,3.7704894551479855
21,3.5216003056383296
22,3.592948885701951
23,3.685500518693595
24,3.61754936753473
25,3.8506746638582996
26,3.7117842433269823
27,3.722670128270783
28,3.7102802824862597
29,3.869865680402332
30,4.523380329049044
31,4.545714818178119
32,4.59040878532924
33,4.508583905501289
34,3.817318851318248
35,3.7890170784328743
36,3.811093304376608
37,3.9406012310668204
38,4.567538238038075
39,4.535720371301945
40,4.512350820875625
41,3.914316520764404
42,3.7789690651318057
43,3.614766293480028
44,3.8159889357021233
45,3.7715108987176515
46,3.734115037084353
47,3.6151834966424037
48,3.6990783441698865
49,3.54397699259918
50,3.5287277254652016
51,3.4451799064791246
52,3.489726962106065
53,3.444578984184758
54,3.3323715500456306
55,3.3352183588468427
56,3.3837214171099244
57,3.3961254657573283
58,3.432146068823094
59,3.3745485077719968
60,3.3440111236364953
61,3.282449897769082
62,3.2520747464412354
63,3.1762886453057404
64,3.0090600757695922
65,3.031918092123776
66,3.99689425925956
67,3.838969144803697
68,3.890073617902441
69,3.804256906614551
70,3.8142186829354094
71,3.8919119109141533
72,3.9097264522384485
73,3.028613055661584
74,3.910279115820843
75,3.9554607544354936
76,3.8920040286240027
77,3.809840720554475
78,3.7567324833029763
79,3.7302636753118543
80,3.740521657782859
81,3.7
82,3.7946726486954185
83,3.845989836171247
84,3.7
85,3.85341521937956
86,3.0478549428555635
87,3.170914253374383
88,3.1583123240238846
89,3.056606192823671
90,3.167247596044585
91,3.132314222260543
92,3.2598836634766286
93,3.286252963512225
94,3.3895034971985667
95,3.4309022928612443
96,3.507392143578303
97,3.5144047122944677
98,3.698966249695952
99,3.7179457015907973
100,3.764465145627972
101,3.9591798060811647
102,3.831134505637258
